,,,,Contact Information,,,,,,,,,,,,,,,Link Checks: Domain Level,,,Link Checks: URL Level,,Link Checks: Spam,,Final Check,,,,,,,,,
iiste.org,Education,"Entertainment, Lifestyle/Culture, Generic",$50,admin@iiste.org
iloverelationship.com,Generic,Relationships,$40,enquiry@iloverelationship.com
indianceo.in,Art/Science,Art/Science,$150,hello@indianceo.in
lasvegastoppicks.com,"Sports, Blogging/DIY",Generic,$180,brendan@lasvegastoppicks.com
lovingthebike.com,Fitness,Sports,$125,darryl@lovingthebike.com
michigansavingandmore.com,Money Making/Investing,Money Making/Investing,$60,las93063@gmail.com
premiuminfo.org,Tech,Tech,$100,admin@premiuminfo.org
rahuldigital.org,Casino/Gambling,"Tech, Art/Science, Seo/Marketing",$90,gitm.rahul@gmail.com
savingyoudinero.com,Travel,"Travel, Food",$150,savingyoudinero@gmail.com
softprodigy.com,Seo/Marketing,Seo/Marketing,$60,rahul_joshi1@softprodigy.com
thisworldrocks.com,Travel,Travel,$100,thisworldrockstravel@gmail.com
tourismtattler.com,Travel,Travel,$100,bev@tourismtattler.com
travelwithamate.com,Travel,Travel,$150,deborah@travelwithamate.com
60secondmarketer.com,Blogging/DIY,Generic,$150,Jamie.Turner@60SecondCommunications.com
coolbusinessideas.com,Business,"Generic, Art/Science, Education, Beauty/Fashion, Entertainment, Food, Health, Home/Real Estate, Pet, Sports, Tech, Travel",$150,simszexiong@yahoo.com.sg
classroom-aid.com,Money Making/Investing,Tech,$55,contactus@classroomaid.org
homefrontunited.com,"Travel, Home/Real Estate","Travel, Home/Real Estate",$45,editorial@homefrontunited.com
techtiplib.com,Tech,Tech,$100,techtiplib@gmail.com
berlinlogs.com,Food,"Food, Sports",$55,info@berlinlogs.com
eventa.us,Entertainment,Entertainment,$100,info@eventa.us
philippineslifestyle.com,Lifestyle/Culture,"Lifestyle/Culture, Travel",$75,contact@philippineslifestyle.com
prommanow.com,Sports,Sports,$85,kelvinhunt@hotmail.com
seriousreading.com,Entertainment,Entertainment,$40,contact@seriousreading.com
sloshspot.com,Lifestyle/Culture,Entertainment,$150,mohit@entrepreneurshiplife.com
thereviewbroads.com,Food,"Travel, Pet",$150,reviewbroads@gmail.com
